вай; Прилагательное; мы  ◆
вата; Прилагательное; вата  ◆
вэясавэй; Прилагательное; кровавый  ◆
едэй; Прилагательное; новый  ◆
илебей; Прилагательное; зелёный  ◆
илӈы; Прилагательное; молодой  ◆
луца; Прилагательное; русский  ◆
манггбада; Прилагательное; бедный, неимущий  ◆
мэбета; Прилагательное; сильный  ◆
мэкад; Прилагательное; интересный; занимательный  ◆
мюй; Прилагательное; внутренний  ◆
наръяна; Прилагательное; красный  ◆
ныхыта; Прилагательное; сильный  ◆
ӈамдэ’лаха; Прилагательное; зелёный  ◆
ӈарка; Прилагательное; большой  ◆
ӈацекы; Прилагательное; молодой  ◆
ӈаць; Прилагательное; молодой  ◆
ӈацьмбой; Прилагательное; молодой  ◆
париденя; Прилагательное; чёрный  ◆
сата; Прилагательное; сильный  ◆
сэр’; Прилагательное; белый  ◆
сэрако; Прилагательное; белый  ◆
тасей; Прилагательное; жёлтый  ◆
тасехэй; Прилагательное; жёлтый  ◆
тахарув; Прилагательное; разный  ◆
тереи; Прилагательное; пустой, порожний  ◆
терсяда; Прилагательное; пустой, порожний  ◆
тибеида; Прилагательное; гнилой  ◆
тибэй; Прилагательное; гнилой  ◆
тыя; Прилагательное; узкий  ◆
тэранггова; Прилагательное; избирательный (связанный с выборами)  ◆
хэм'; Прилагательное; короткий  ◆
юрлик; Прилагательное; забывчивый  ◆
ямб; Прилагательное; ямб (аналог русск. ямб [I])  ◆
хынум’; Существительное; молитва  ◆
хэб; Существительное; энтомол. оса  ◆
хэв; Существительное; берег  ◆
хэва; Существительное; анат. костный мозг  ◆
хэвды; Существительное; анат. ребро  ◆
хэм’; Существительное; кровь  ◆
юну’; Существительное; весна  ◆
юрё; Существительное; друг  ◆
ябто; Существительное; зоол. гусь (Anser)  ◆
ядалава; Существительное; кузница  ◆
ядарта; Существительное; кузнец  ◆
ядарць'; Существительное; кузница  ◆
ядэлава; Существительное; улица  ◆
якэ; Существительное; дым  ◆
яля; Существительное; день  ◆
янгор; Существительное; этаж  ◆
янгортава; Существительное; повторение  ◆
янгорэй; Существительное; этаж  ◆
яха; Существительное; вместе  ◆
лакривна; наречие; недавно  ◆
лакривна; наречие; вскоре  ◆
мер'; наречие; быстро  ◆
мервана; наречие; быстро  ◆
нюрте'э; наречие; впервые  ◆
теняна; наречие; вчера  ◆
тэри; наречие; напрасно, зря  ◆
тю'у'; наречие; вверх, наверх  ◆
тю'уняна; наречие; вверх, наверх  ◆
тю'ури'; наречие; вверх, наверх  ◆
вздекуць; Глагол; подглядывать; подсматривать  ◆
вздомбюрць; Глагол; посещать, навещать  ◆
вэдекурць; Глагол; посещать, навещать  ◆
вэхэмзь; Глагол; выплыть  ◆
вэхэмзь; Глагол; появиться  ◆
ерабюрць; Глагол; караулить, охранять, стеречь, сторожить  ◆
ибедорць; Глагол; думать  ◆
лэтра; Глагол; сберегать, сохранять  ◆
лэтрамба; Глагол; караулить, охранять, стеречь, сторожить  ◆
лэтрамбюрць; Глагол; караулить, охранять, стеречь, сторожить  ◆
марэрць; Глагол; жестикулировать  ◆
мирдапа; Глагол; продавать  ◆
мирдапюрць; Глагол; продавать (много раз)  ◆
мулкада; Глагол; нырнуть  ◆
мулкадарць; Глагол; нырять  ◆
мунзя; Глагол; молчать  ◆
нгабтие; Глагол; нюхать  ◆
нгэвадалаба; Глагол; запрещать  ◆
нгэвадалабюрць; Глагол; запрещать  ◆
нюркабтамба; Глагол; забавлять, развлекать  ◆
нюркабтамбюрць; Глагол; забавлять, развлекать  ◆
нюрцамдемба; Глагол; забавлять, развлекать  ◆
няледе; Глагол; разграбить  ◆
нялирте; Глагол; разграбить  ◆
нялмба; Глагол; глотать  ◆
нялпа; Глагол; глотать  ◆
нянза; Глагол; лизать  ◆
падба; Глагол; писа́ть  ◆
падбюрць; Глагол; писа́ть  ◆
падна; Глагол; писа́ть  ◆
паднорць; Глагол; писа́ть  ◆
панггалпа; Глагол; плести  ◆
панггалпюрць; Глагол; плести  ◆
пандамба; Глагол; наполнять  ◆
пандамбюрць; Глагол; наполнять (много раз)  ◆
парумба; Глагол; торопить  ◆
парумбюрць; Глагол; торопить (много раз)  ◆
пиеедета; Глагол; насмехаться  ◆
са'нена; Глагол; мокнуть, намокать  ◆
савумдана; Глагол; лечиться  ◆
савумдангго; Глагол; лечиться  ◆
сапдамба; Глагол; успевать (делать вовремя)  ◆
сапдамбюрць; Глагол; успевать (делать вовремя)  ◆
сэвсялмдана; Глагол; слепнуть  ◆
сэдба; Глагол; шить  ◆
сэдбюрць; Глагол; шить  ◆
сэдора; Глагол; шить  ◆
табадамба; Глагол; приказывать; распоряжаться  ◆
табадамбюрць; Глагол; приказывать; распоряжаться  ◆
табекурць; Глагол; приказывать; распоряжаться  ◆
талеба; Глагол; воровать, красть  ◆
таня; Глагол; есть, имеется  ◆
тердемба; Глагол; наполнять  ◆
тердембюрць; Глагол; наполнять (много раз)  ◆
тырабтамба; Глагол; сушить  ◆
